ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,1439.0,2520.0,1
2023-03-13 00:01:04.031622,1145.0,2703.0,2
2023-03-13 00:01:25.375496,2319.0,2848.0,2
2023-03-13 00:01:46.719370,337.0,1476.0,2
2023-03-13 00:02:08.063244,1785.0,2186.0,2
2023-03-13 00:02:29.407118,2161.0,2264.0,2
2023-03-13 00:02:50.750992,1628.0,2049.0,2
2023-03-13 00:03:12.094866,2560.0,2681.0,2
2023-03-13 00:03:33.438740,2478.0,578.0,2
2023-03-13 00:03:54.782614,1744.0,1983.0,2
2023-03-13 00:04:16.126488,1302.0,442.0,1
2023-03-13 00:04:37.470362,69.0,160.0,2
2023-03-13 00:04:58.814236,1308.0,2296.0,2
2023-03-13 00:05:20.158110,1429.0,1761.0,2
2023-03-13 00:05:41.501984,1695.0,2369.0,2
2023-03-13 00:06:02.845858,1307.0,2561.0,2
2023-03-13 00:06:24.189732,1587.0,546.0,2
2023-03-13 00:06:45.533606,705.0,1302.0,2
2023-03-13 00:07:06.877480,2922.0,1716.0,2
2023-03-13 00:07:28.221354,1263.0,675.0,2
2023-03-13 00:07:49.565228,3277.0,3748.0,1
2023-03-13 00:08:10.909102,1679.0,617.0,2
2023-03-13 00:08:32.252976,1288.0,1887.0,2
2023-03-13 00:08:53.596850,1807.0,459.0,2
2023-03-13 00:09:14.940724,973.0,2015.0,2
2023-03-13 00:09:36.284598,243.0,781.0,2
2023-03-13 00:09:57.628472,47.0,1489.0,2
2023-03-13 00:10:18.972346,1476.0,1326.0,2
2023-03-13 00:10:40.316220,588.0,1007.0,2
2023-03-13 00:11:01.660094,958.0,817.0,2
2023-03-13 00:11:23.003968,1519.0,2461.0,1
2023-03-13 00:11:44.347842,1239.0,2427.0,2
2023-03-13 00:12:05.691716,2719.0,2106.0,2
2023-03-13 00:12:27.035590,483.0,1381.0,2
2023-03-13 00:12:48.379464,3179.0,2124.0,2
2023-03-13 00:13:09.723338,1427.0,2135.0,2
2023-03-13 00:13:31.067212,102.0,987.0,2
2023-03-13 00:13:52.411086,1486.0,33.0,2
2023-03-13 00:14:13.754960,1124.0,2057.0,2
2023-03-13 00:14:35.098834,338.0,43.0,2
2023-03-13 00:14:56.442708,952.0,2923.0,1
2023-03-13 00:15:17.786582,938.0,1774.0,2
2023-03-13 00:15:39.130456,2719.0,2991.0,2
2023-03-13 00:16:00.474330,1698.0,982.0,2
2023-03-13 00:16:21.818204,1892.0,2267.0,2
2023-03-13 00:16:43.162078,1397.0,54.0,2
2023-03-13 00:17:04.505952,1578.0,1846.0,2
2023-03-13 00:17:25.849826,2674.0,3215.0,2
2023-03-13 00:17:47.193700,3160.0,2767.0,2
2023-03-13 00:18:08.537574,2159.0,1419.0,2
2023-03-13 00:18:29.881448,1954.0,1514.0,1
2023-03-13 00:18:51.225322,630.0,112.0,2
2023-03-13 00:19:12.569196,793.0,1599.0,2
2023-03-13 00:19:33.913070,1695.0,1303.0,2
2023-03-13 00:19:55.256944,1059.0,1049.0,2
2023-03-13 00:20:16.600818,1360.0,1923.0,2
2023-03-13 00:20:37.944692,1175.0,715.0,2
2023-03-13 00:20:59.288566,1112.0,836.0,2
2023-03-13 00:21:20.632440,1207.0,1040.0,2
2023-03-13 00:21:41.976314,745.0,1363.0,2
2023-03-13 00:22:03.320188,2080.0,1150.0,1
2023-03-13 00:22:24.664062,2363.0,2923.0,2
2023-03-13 00:22:46.007936,1059.0,1021.0,2
2023-03-13 00:23:07.351810,19.0,178.0,2
2023-03-13 00:23:28.695684,2392.0,2824.0,2
2023-03-13 00:23:50.039558,898.0,949.0,2
2023-03-13 00:24:11.383432,2213.0,1889.0,2
2023-03-13 00:24:32.727306,2600.0,2915.0,2
2023-03-13 00:24:54.071180,1527.0,2170.0,2
2023-03-13 00:25:15.415054,1515.0,936.0,2
2023-03-13 00:25:36.758928,1791.0,1781.0,1
2023-03-13 00:25:58.102802,962.0,488.0,2
2023-03-13 00:26:19.446676,456.0,1166.0,2
2023-03-13 00:26:40.790550,1716.0,2931.0,2
2023-03-13 00:27:02.134424,2809.0,2559.0,2
2023-03-13 00:27:23.478298,2837.0,2900.0,2
2023-03-13 00:27:44.822172,2142.0,2150.0,2
2023-03-13 00:28:06.166046,407.0,868.0,2
